Blue States
Maine
Connecticut
New Jersey
New York
Rhode Island
California
Nevada
Arizona
New Mexico
Colorado
Oregon
Washington
Minnesota
Wisconsin
Michigan
Pennsylvania
New Hampshire
Vermont
Virginia
Maryland
