Red States 
Texas
Oklahoma
Kansas
Nebraska
Louisana
Arkansas
Alabama
Florida
Montana
Idaho
Ohio
West Virginia
Tennessee
South Carolina
Utah 
Wyoming
North Dakota
South Dakota
Missouri
Iowa
Georgia
Arizona
Alaska
Indiana
Maryland
Massachusets
New Hampshire
Vermont
Virginia
